"recipe_id","recipe_name","descr","cooking_time","default_servings","proced","video_link","calories","protein","carbs","fats","fiber","recipe_image"
20,"Tom Yum Soup","Spicy and sour Thai soup",25,4,"1. Bruise lemongrass stalks.,2. Slice galangal into thin pieces.,3. Bring stock to gentle simmer.,4. Add aromatics and chili paste.,5. Stir in fish sauce and lime.,6. Add mushrooms and shrimp.,7. Cook until shrimp turn pink.,8. Adjust seasoning to balance.,9. Garnish with fresh cilantro.","https://youtu.be/tom-yum-soup",150,12.0,5.0,6.0,2.0,"tom_yum_soup.jpg"
21,"French Toast","Classic sweet breakfast dish",15,2,"1. Whisk eggs in shallow dish.,2. Add milk, sugar, cinnamon.,3. Dip bread slices in mixture.,4. Let soak for 30 seconds.,5. Melt butter in skillet.,6. Cook bread until golden.,7. Flip and cook other side.,8. Dust with powdered sugar.,9. Serve with maple syrup.","https://youtu.be/french-toast",300,8.0,45.0,12.0,2.0,"french_toast.jpg"
22,"Clam Chowder","Rich and creamy seafood soup",40,4,"1. Render diced bacon in pot.,2. Sauté onions and celery.,3. Add diced potatoes and broth.,4. Simmer until potatoes tender.,5. Add chopped clams with juice.,6. Make roux with butter and flour.,7. Stir in cream gradually.,8. Season with thyme and pepper.,9. Serve with oyster crackers.","https://youtu.be/clam-chowder",400,15.0,30.0,20.0,2.0,"clam_chowder.jpg"
23,"Ratatouille","Classic French vegetable stew",50,4,"1. Slice all vegetables evenly.,2. Sauté onions and garlic.,3. Layer vegetables in baking dish.,4. Pour tomato sauce over.,5. Season with herbs de provence.,6. Cover and bake slowly.,7. Uncover for final browning.,8. Rest for 10 minutes.,9. Garnish with fresh basil.","https://youtu.be/ratatouille",250,5.0,30.0,10.0,7.0,"ratatouille.jpg"
24,"Masala Dosa","Popular South Indian fermented crepe",60,4,"1. Soak rice and lentils separately.,2. Grind to smooth batter.,3. Ferment overnight until bubbly.,4. Prepare spiced potato filling.,5. Heat dosa tawa or griddle.,6. Spread batter in circular motion.,7. Cook until crisp and golden.,8. Add filling and fold.,9. Serve with sambar and chutney.","https://youtu.be/masala-dosa",300,8.0,50.0,8.0,4.0,"masala_dosa.jpg"
25,"Samosa","Triangular deep-fried snack",45,4,"1. Prepare dough with flour and ghee.,2. Boil and mash potatoes.,3. Add peas and spices to filling.,4. Roll dough into thin circles.,5. Cut in half, form cones.,6. Fill cones with potato mixture.,7. Seal edges with water.,8. Deep fry until golden brown.,9. Drain on paper towels.","https://youtu.be/samosa",350,5.0,40.0,15.0,2.0,"samosa.jpg"
26,"Rajma","Comforting kidney bean curry",50,4,"1. Soak kidney beans overnight.,2. Pressure cook until tender.,3. Sauté onions until golden.,4. Add ginger-garlic paste.,5. Stir in tomato puree.,6. Add spices and cook.,7. Mix in cooked rajma.,8. Simmer for 15 minutes.,9. Garnish with fresh coriander.","https://youtu.be/rajma",300,15.0,40.0,10.0,8.0,"rajma.jpg"
27,"Pav Bhaji","Spicy vegetable mash served with bread",40,3,"1. Boil mixed vegetables until soft.,2. Mash coarsely with potato masher.,3. Sauté onions in butter.,4. Add pav bhaji masala.,5. Stir in tomato puree.,6. Add mashed vegetables.,7. Cook with butter and spices.,8. Toast pav buns lightly.,9. Serve with chopped onions.","https://youtu.be/pav-bhaji",400,10.0,50.0,12.0,5.0,"pav_bhaji.jpg"
28,"Hyderabadi Biryani","Iconic spiced rice and meat dish",90,5,"1. Marinate meat with yogurt.,2. Soak basmati rice.,3. Prepare fried onions.,4. Layer rice and meat.,5. Add saffron and kewra.,6. Seal pot with dough.,7. Cook on dum (low heat).,8. Let rest before opening.,9. Mix gently and serve.","https://youtu.be/hyderabadi-biryani",700,35.0,60.0,25.0,4.0,"hyderabadi_biryani.jpg"
29,"Aloo Gobi","Simple stir-fried potato and cauliflower dish",30,3,"1. Cut potatoes into cubes.,2. Break cauliflower into florets.,3. Heat oil in kadai.,4. Add cumin and turmeric.,5. Stir in vegetables.,6. Cover and cook.,7. Add garam masala.,8. Sprinkle with amchur.,9. Garnish with coriander.","https://youtu.be/aloo-gobi",250,5.0,30.0,8.0,5.0,"aloo_gobi.jpg"
30,"Chole Bhature","Chickpea curry with fluffy fried bread",50,4,"1. Soak chickpeas overnight.,2. Pressure cook with tea bag.,3. Prepare bhature dough.,4. Sauté onions for chole.,5. Add spices and tomatoes.,6. Mix in cooked chickpeas.,7. Roll and fry bhature.,8. Serve with pickle.,9. Garnish with onions.","https://youtu.be/chole-bhature",600,15.0,70.0,20.0,6.0,"chole_bhature.jpg"
31,"Gulab Jamun","Soft and sweet milk-based dessert",30,4,"1. Mix khoya and flour.,2. Knead into smooth dough.,3. Shape into small balls.,4. Heat ghee for frying.,5. Fry until golden brown.,6. Prepare sugar syrup.,7. Soak jamuns in syrup.,8. Let rest for 2 hours.,9. Serve warm or chilled.","https://youtu.be/gulab-jamun",300,5.0,50.0,12.0,1.0,"gulab_jamun.jpg"
32,"Palak Paneer","Spinach curry with cottage cheese",35,4,"1. Blanch spinach leaves.,2. Blend into smooth puree.,3. Sauté onions and garlic.,4. Add spices and puree.,5. Stir in cream.,6. Add paneer cubes.,7. Simmer for 5 minutes.,8. Finish with butter.,9. Serve with naan.","https://youtu.be/palak-paneer",350,15.0,25.0,20.0,6.0,"palak_paneer.jpg"
33,"Malai Kofta","Rich and creamy curry with fried potato and paneer balls",50,4,"1. Boil and mash potatoes.,2. Mix with paneer and nuts.,3. Shape into balls.,4. Deep fry until golden.,5. Prepare onion-tomato gravy.,6. Add cream and spices.,7. Gently add koftas.,8. Simmer for 5 minutes.,9. Garnish with cream.","https://youtu.be/malai-kofta",600,15.0,35.0,25.0,4.0,"malai_kofta.jpg"
34,"Chicken Tikka","Flavorful grilled chicken skewers",40,4,"1. Cut chicken into pieces.,2. Prepare yogurt marinade.,3. Add spices and lemon.,4. Marinate for 2 hours.,5. Skewer chicken pieces.,6. Grill until charred.,7. Baste with butter.,8. Serve with chutney.,9. Garnish with lemon.","https://youtu.be/chicken-tikka",400,30.0,10.0,15.0,2.0,"chicken_tikka.jpg"
35,"Dal Makhani","Slow-cooked creamy lentil dish",90,4,"1. Soak lentils overnight.,2. Cook until very soft.,3. Sauté ginger and garlic.,4. Add tomatoes and spices.,5. Mix in cooked dal.,6. Simmer for 1 hour.,7. Stir in butter.,8. Finish with cream.,9. Garnish with coriander.","https://youtu.be/dal-makhani",450,20.0,40.0,12.0,6.0,"dal_makhani.jpg"
36,"Kachori","Spicy stuffed fried pastry",35,4,"1. Prepare dough with flour.,2. Cook moong dal filling.,3. Add spices to filling.,4. Roll dough into circles.,5. Stuff with filling.,6. Seal edges properly.,7. Deep fry until crisp.,8. Drain excess oil.,9. Serve with chutney.","https://youtu.be/kachori",350,8.0,50.0,15.0,3.0,"kachori.jpg"
37,"Vada Pav","Popular Mumbai street food snack",25,2,"1. Boil and mash potatoes.,2. Add spices to potatoes.,3. Shape into patties.,4. Dip in batter.,5. Deep fry until golden.,6. Toast pav buns.,7. Spread chutneys.,8. Assemble vada in pav.,9. Serve with green chili.","https://youtu.be/vada-pav",300,5.0,35.0,10.0,2.0,"vada_pav.jpg"
38,"Tandoori Roti","Traditional Indian bread cooked in a tandoor",20,4,"1. Mix flour and yogurt.,2. Knead into soft dough.,3. Rest for 30 minutes.,4. Divide into portions.,5. Roll into circles.,6. Cook in hot tandoor.,7. Apply butter.,8. Keep covered.,9. Serve hot.","https://youtu.be/tandoori-roti",200,6.0,30.0,8.0,3.0,"tandoori_roti.jpg"
39,"Baingan Bharta","Smoky mashed eggplant curry",35,4,"1. Roast eggplant whole.,2. Peel and mash pulp.,3. Sauté onions and tomatoes.,4. Add spices and ginger.,5. Mix in mashed eggplant.,6. Cook for 10 minutes.,7. Finish with coriander.,8. Drizzle with ghee.,9. Serve with roti.","https://youtu.be/baingan-bharta",250,5.0,20.0,10.0,4.0,"baingan_bharta.jpg"
40,"Matar Paneer","Pea and cottage cheese curry",30,4,"1. Fry paneer cubes.,2. Sauté onions and garlic.,3. Add tomato puree.,4. Stir in spices.,5. Add green peas.,6. Pour in water.,7. Simmer for 5 minutes.,8. Add fried paneer.,9. Garnish with cream.","https://youtu.be/matar-paneer",350,15.0,30.0,20.0,5.0,"matar_paneer.jpg"
41,"Shahi Tukda","Rich bread dessert soaked in syrup and milk",25,4,"1. Trim bread crusts.,2. Fry bread in ghee.,3. Prepare sugar syrup.,4. Make rabri (thickened milk).,5. Soak bread in syrup.,6. Layer with rabri.,7. Chill for 2 hours.,8. Garnish with nuts.,9. Serve cold.","https://youtu.be/shahi-tukda",400,8.0,50.0,15.0,2.0,"shahi_tukda.jpg"
42,"Aloo Paratha","Stuffed flatbread with spiced potato filling",30,4,"1. Knead whole wheat dough.,2. Boil and mash potatoes.,3. Add spices to potatoes.,4. Roll dough into circles.,5. Stuff with potato mix.,6. Seal and roll again.,7. Cook on tawa.,8. Apply ghee.,9. Serve with curd.","https://youtu.be/aloo-paratha",350,6.0,40.0,12.0,4.0,"aloo_paratha.jpg"
43,"Pancakes","Fluffy breakfast pancakes",20,2,"1. Mix flour, sugar, baking powder.,2. Whisk egg with milk and butter.,3. Combine wet and dry ingredients.,4. Heat lightly oiled griddle.,5. Pour batter for each pancake.,6. Flip when bubbles form.,7. Cook until golden brown.,8. Serve with maple syrup.","https://youtu.be/pancakes",250,6.0,38.0,8.0,2.0,"pancakes.jpg"
44,"Grilled Chicken Salad","Healthy salad with grilled chicken",25,2,"1. Season chicken with herbs.,2. Grill until fully cooked.,3. Chop lettuce and vegetables.,4. Slice grilled chicken.,5. Combine all ingredients.,6. Add croutons if desired.,7. Toss with dressing.,8. Serve chilled.","https://youtu.be/grilled-chicken-salad",350,30.0,15.0,18.0,4.0,"grilled_chicken_salad.jpg"
45,"Fruit Bowl","Fresh mixed fruit bowl",10,1,"1. Wash all fruits thoroughly.,2. Peel and chop larger fruits.,3. Slice bananas last.,4. Combine in serving bowl.,5. Add lemon juice to prevent browning.,6. Sprinkle with chia seeds.,7. Chill before serving.,8. Garnish with mint.","https://youtu.be/fruit-bowl",150,2.0,35.0,0.5,5.0,"fruit_bowl.jpg"
46,"Pasta Alfredo","Creamy fettuccine alfredo",25,2,"1. Cook pasta al dente.,2. Melt butter in saucepan.,3. Add minced garlic.,4. Stir in heavy cream.,5. Gradually add parmesan.,6. Season with salt and pepper.,7. Toss with cooked pasta.,8. Garnish with parsley.","https://youtu.be/pasta-alfredo",550,15.0,45.0,30.0,2.0,"pasta_alfredo.jpg"
47,"Omelette","Fluffy egg omelette",10,1,"1. Whisk eggs with milk.,2. Heat butter in pan.,3. Pour egg mixture.,4. Add fillings when set.,5. Fold omelette in half.,6. Cook until golden.,7. Slide onto plate.,8. Season with herbs.","https://youtu.be/omelette",220,14.0,2.0,16.0,0.5,"omelette.jpg"
48,"Veggie Wrap","Vegetarian wrap with fresh veggies",15,1,"1. Spread hummus on tortilla.,2. Layer lettuce leaves.,3. Add sliced vegetables.,4. Sprinkle with cheese.,5. Roll tightly.,6. Cut diagonally.,7. Secure with toothpick.,8. Serve with yogurt dip.","https://youtu.be/veggie-wrap",300,10.0,35.0,12.0,6.0,"veggie_wrap.jpg"
49,"Granola Bar","Homemade chewy granola bars",30,8,"1. Mix oats with nuts.,2. Heat honey and peanut butter.,3. Combine wet and dry.,4. Press into lined pan.,5. Bake until golden.,6. Cool completely.,7. Cut into bars.,8. Store in airtight container.","https://youtu.be/granola-bar",200,5.0,25.0,8.0,3.0,"granola_bar.jpg"
50,"Steak with Mashed Potatoes","Classic steak dinner",40,2,"1. Season steak generously.,2. Sear in hot pan.,3. Finish in oven.,4. Boil potatoes.,5. Mash with butter.,6. Add warm milk.,7. Rest steak before slicing.,8. Plate with vegetables.","https://youtu.be/steak-mashed-potatoes",650,45.0,35.0,35.0,4.0,"steak_mashed_potatoes.jpg"
51,"Toast with Avocado","Simple avocado toast",5,1,"1. Toast bread slices.,2. Mash ripe avocado.,3. Add lemon juice.,4. Spread on toast.,5. Sprinkle with salt.,6. Add red pepper flakes.,7. Drizzle olive oil.,8. Garnish with microgreens.","https://youtu.be/toast-avocado",250,5.0,20.0,15.0,7.0,"toast_avocado.jpg"
52,"Chicken Curry","Spicy Indian chicken curry",40,4,"1. Marinate chicken.,2. Sauté onions and garlic.,3. Add curry powder.,4. Stir in tomatoes.,5. Add chicken pieces.,6. Simmer until cooked.,7. Finish with cream.,8. Garnish with cilantro.","https://youtu.be/chicken-curry",450,35.0,15.0,25.0,3.0,"chicken_curry.jpg"
53,"Smoothie","Refreshing fruit smoothie",5,1,"1. Add yogurt to blender.,2. Pour in liquid base.,3. Add frozen fruits.,4. Blend until smooth.,5. Adjust consistency.,6. Taste for sweetness.,7. Pour into glass.,8. Add garnish.","https://youtu.be/smoothie",180,5.0,30.0,3.0,3.0,"smoothie.jpg"
54,"Vegetable Stir-Fry","Quick Asian-style stir-fry",15,2,"1. Prepare all vegetables.,2. Make sauce mixture.,3. Heat wok with oil.,4. Stir-fry aromatics.,5. Add vegetables by hardness.,6. Toss with sauce.,7. Thicken if needed.,8. Serve immediately.","https://youtu.be/vegetable-stir-fry",250,8.0,30.0,10.0,5.0,"vegetable_stir_fry.jpg"
55,"Grilled Fish with Rice","Healthy fish dinner",30,2,"1. Marinate fish fillets.,2. Prepare rice cooker.,3. Grill fish 4 minutes per side.,4. Fluff cooked rice.,5. Steam vegetables.,6. Plate components.,7. Add lemon wedge.,8. Drizzle with sauce.","https://youtu.be/grilled-fish-rice",400,35.0,40.0,12.0,3.0,"grilled_fish_rice.jpg"
56,"Chips and Salsa","Classic Mexican snack",10,4,"1. Chop tomatoes finely.,2. Dice onions and cilantro.,3. Mix with lime juice.,4. Season with salt.,5. Let flavors meld.,6. Arrange chips.,7. Serve salsa in bowl.,8. Garnish with jalapeño.","https://youtu.be/chips-salsa",200,3.0,25.0,10.0,3.0,"chips_salsa.jpg"
57,"Chicken Biryani","Fragrant spiced rice dish",60,4,"1. Marinate chicken.,2. Soak basmati rice.,3. Prepare biryani masala.,4. Layer rice and chicken.,5. Add saffron milk.,6. Seal and cook.,7. Rest before serving.,8. Garnish with fried onions.","https://youtu.be/chicken-biryani",600,40.0,55.0,20.0,4.0,"chicken_biryani.jpg"
58,"Waffles","Crispy Belgian waffles",25,2,"1. Mix dry ingredients.,2. Separate egg whites.,3. Combine wet ingredients.,4. Fold in whipped whites.,5. Preheat waffle iron.,6. Pour batter.,7. Cook until golden.,8. Serve with toppings.","https://youtu.be/waffles",350,8.0,45.0,15.0,2.0,"waffles.jpg"
59,"Yogurt Parfait","Layered yogurt and fruit",10,1,"1. Choose serving glass.,2. Add yogurt layer.,3. Top with granola.,4. Add fruit layer.,5. Repeat layers.,6. Drizzle honey.,7. Chill briefly.,8. Garnish with mint.","https://youtu.be/yogurt-parfait",220,10.0,25.0,5.0,3.0,"yogurt_parfait.jpg"
60,"Lamb Curry","Rich and flavorful lamb dish",90,4,"1. Brown lamb pieces.,2. Sauté whole spices.,3. Add onion paste.,4. Stir in tomatoes.,5. Cook until tender.,6. Adjust seasoning.,7. Finish with garam masala.,8. Garnish with coriander.","https://youtu.be/lamb-curry",500,35.0,20.0,30.0,3.0,"lamb_curry.jpg"
61,"Burger with Fries","Classic American meal",30,1,"1. Shape beef patties.,2. Season both sides.,3. Grill to desired doneness.,4. Toast burger buns.,5. Assemble with toppings.,6. Cut potatoes.,7. Fry until crispy.,8. Season fries.","https://youtu.be/burger-fries",850,40.0,60.0,45.0,4.0,"burger_fries.jpg"
62,"Beef Stew","Hearty winter stew",120,4,"1. Brown beef chunks.,2. Sauté vegetables.,3. Deglaze with wine.,4. Add broth and herbs.,5. Simmer until tender.,6. Thicken if needed.,7. Adjust seasoning.,8. Serve with bread.","https://youtu.be/beef-stew",450,35.0,25.0,20.0,5.0,"beef_stew.jpg"
63,"Poached Eggs","Perfectly cooked eggs",10,1,"1. Bring water to simmer.,2. Add vinegar.,3. Create water vortex.,4. Slide in egg.,5. Cook 3-4 minutes.,6. Remove with slotted spoon.,7. Drain on paper.,8. Season to serve.","https://youtu.be/poached-eggs",140,12.0,1.0,9.0,0.0,"poached_eggs.jpg"
64,"Chicken Salad Wrap","Light lunch wrap",15,1,"1. Shred cooked chicken.,2. Mix with mayonnaise.,3. Add diced celery.,4. Season to taste.,5. Spread on tortilla.,6. Add lettuce.,7. Roll tightly.,8. Cut diagonally.","https://youtu.be/chicken-salad-wrap",350,25.0,20.0,18.0,3.0,"chicken_salad_wrap.jpg"
65,"Sushi Rolls","Japanese rice and fish rolls",45,2,"1. Prepare sushi rice.,2. Slice fish thinly.,3. Lay out nori sheet.,4. Spread rice evenly.,5. Add fillings.,6. Roll tightly.,7. Cut with wet knife.,8. Serve with wasabi.","https://youtu.be/sushi-rolls",300,15.0,40.0,5.0,2.0,"sushi_rolls.jpg"
66,"Grilled Veggie Sandwich","Healthy vegetable sandwich",20,1,"1. Slice vegetables evenly.,2. Brush with oil.,3. Grill until tender.,4. Toast bread slices.,5. Spread pesto or hummus.,6. Layer vegetables.,7. Add cheese if desired.,8. Press lightly.","https://youtu.be/grilled-veggie-sandwich",320,10.0,40.0,12.0,6.0,"grilled_veggie_sandwich.jpg"
67,"Spaghetti Bolognese","Classic Italian pasta",50,4,"1. Brown ground beef.,2. Sauté vegetables.,3. Add tomato products.,4. Simmer sauce.,5. Cook pasta.,6. Drain al dente.,7. Toss with sauce.,8. Garnish with cheese.","https://youtu.be/spaghetti-bolognese",600,35.0,60.0,25.0,5.0,"spaghetti_bolognese.jpg"
68,"Blueberry Muffins","Moist berry muffins",30,6,"1. Mix dry ingredients.,2. Combine wet ingredients.,3. Fold together gently.,4. Add blueberries.,5. Fill muffin cups.,6. Bake until golden.,7. Cool in pan.,8. Remove to rack.","https://youtu.be/blueberry-muffins",250,4.0,35.0,10.0,2.0,"blueberry_muffins.jpg"
69,"Caesar Salad","Classic romaine salad",15,2,"1. Chop romaine lettuce.,2. Make dressing.,3. Toss with croutons.,4. Add parmesan shavings.,5. Season with pepper.,6. Toss gently.,7. Plate salad.,8. Garnish with anchovies.","https://youtu.be/caesar-salad",350,12.0,20.0,25.0,3.0,"caesar_salad.jpg"
70,"Grilled Salmon","Healthy omega-3 rich dish",20,2,"1. Season salmon fillets.,2. Preheat grill.,3. Oil grill grates.,4. Grill skin-side down.,5. Flip carefully.,6. Cook to medium.,7. Rest before serving.,8. Garnish with lemon.","https://youtu.be/grilled-salmon",350,35.0,2.0,22.0,1.0,"grilled_salmon.jpg"
71,"Scrambled Eggs","Fluffy breakfast eggs",10,1,"1. Crack eggs into bowl.,2. Whisk with milk.,3. Heat butter in pan.,4. Pour egg mixture.,5. Stir gently.,6. Remove from heat.,7. Season with salt.,8. Serve immediately.","https://youtu.be/scrambled-eggs",200,12.0,2.0,15.0,0.0,"scrambled_eggs.jpg"
